Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP100031,8000,3000,Salaried,21,Single,3.0,735.0,1,18.8,18300.0,22000.0,76000,36,Personal,Urban,Undergraduate,Male,Govt,1
APP100032,8000,0,Salaried,55,Single,0.0,683.0,0,6.2,8500.0,53000.0,95000,180,Personal,Rural,Graduate,Male,Private,1
APP100033,8000,0,Business,38,Single,0.0,671.0,0,6.9,3500.0,41000.0,78000,120,Business,Semi-Urban,Undergraduate,Male,Private,1
APP100034,8000,3000,Business,26,Single,0.0,574.0,1,5.0,12600.0,4000.0,68000,360,Personal,Rural,Postgraduate,Male,Govt,0
APP100035,8000,0,Business,44,Married,0.0,630.0,0,69.9,7600.0,52000.0,197000,36,Personal,Urban,Undergraduate,Male,Self,0
APP100036,8000,3000,Salaried,45,Single,0.0,669.0,0,26.4,35600.0,186000.0,209000,60,Home,Rural,Graduate,Male,Private,0
APP100037,8000,3000,Salaried,24,Married,0.0,666.0,0,10.1,14500.0,101000.0,243000,180,Education,Urban,Graduate,Female,Private,1
APP100038,8000,6300,Self-Employed,32,Married,3.0,713.0,4,16.8,12200.0,65000.0,142000,60,Personal,Urban,Undergraduate,Female,Self,0
APP100039,8000,0,Salaried,46,Married,2.0,,0,5.0,4100.0,48000.0,97000,240,Business,Urban,Graduate,Female,Govt,0
APP100040,8000,3000,Salaried,29,Single,3.0,669.0,1,5.0,9400.0,29000.0,82000,360,Business,Semi-Urban,Postgraduate,Female,Private,1
APP100041,8000,3000,Salaried,40,Married,0.0,815.0,0,13.5,4600.0,174000.0,329000,240,Personal,Urban,Graduate,Male,Self,1
APP100042,8000,0,Salaried,52,Married,0.0,753.0,0,5.9,7600.0,0.0,68000,120,Personal,Semi-Urban,Graduate,Male,Private,0
APP100043,8000,0,Business,21,Married,0.0,689.0,0,5.0,28200.0,84000.0,65000,360,Home,Urban,Postgraduate,Female,Private,1
APP100044,8000,0,Salaried,34,Single,3.0,516.0,4,48.4,6100.0,174000.0,166000,36,Home,Urban,Postgraduate,Male,Govt,0
APP100045,8000,3000,Self-Employed,40,Single,0.0,556.0,0,25.5,1900.0,193000.0,154000,60,Home,Semi-Urban,Postgraduate,Male,Self,0
APP100046,8000,0,Salaried,21,Married,1.0,729.0,1,15.9,13300.0,228000.0,218000,180,Home,Urban,Graduate,Male,Private,1
APP100047,8000,3000,Salaried,32,Married,0.0,738.0,1,63.2,17800.0,117000.0,286000,36,Education,Rural,Graduate,Male,Govt,1
APP100048,8000,3000,Salaried,48,Single,0.0,488.0,2,76.2,,360000.0,295000,36,Home,Semi-Urban,Graduate,Male,Private,0
APP100049,8000,0,Salaried,30,Single,0.0,734.0,1,21.2,19200.0,56000.0,189000,120,Personal,Rural,Graduate,Male,Self,1
APP100050,8000,0,Business,23,Single,,629.0,0,5.0,6200.0,31000.0,73000,360,Personal,Urban,Undergraduate,Male,Govt,1
APP100051,8000,4000,Self-Employed,49,Married,0.0,635.0,1,5.0,10500.0,0.0,90000,360,Personal,Rural,Undergraduate,Female,Self,0
APP100052,8000,0,Business,42,Single,0.0,728.0,4,5.0,12000.0,34000.0,60000,180,Education,Semi-Urban,Graduate,Male,Private,0
APP100053,8000,0,Business,37,Married,0.0,729.0,2,59.9,12500.0,206000.0,202000,36,Home,Rural,Undergraduate,Male,Private,0
APP100054,8000,3000,Self-Employed,37,Married,1.0,663.0,1,40.9,,123000.0,239000,60,Business,Urban,Graduate,Male,Private,0
APP100055,8000,3000,Business,48,Married,1.0,733.0,1,25.7,4600.0,347000.0,325000,120,Home,Semi-Urban,Postgraduate,Female,Self,0
APP100056,8000,3000,Salaried,40,Married,3.0,647.0,0,36.4,13100.0,32000.0,236000,60,Business,Rural,Graduate,Male,Private,1
APP100057,8000,0,Salaried,44,Single,1.0,600.0,1,37.8,24300.0,112000.0,96000,36,Home,Urban,Postgraduate,Male,Govt,0
APP100058,8000,0,Salaried,31,Married,0.0,793.0,0,5.0,4300.0,0.0,65000,240,Personal,Semi-Urban,Graduate,Male,Self,1
APP100059,8000,3000,Salaried,21,Married,1.0,799.0,0,6.6,5400.0,156000.0,163000,180,Home,Rural,Graduate,Male,Private,1
APP100060,8000,0,Salaried,44,Married,1.0,614.0,1,21.1,6400.0,99000.0,86000,60,Home,Semi-Urban,Graduate,Female,Private,1
APP100061,8000,0,Salaried,49,Married,2.0,631.0,0,8.0,7100.0,,169000,240,Education,Urban,Graduate,Female,Private,0
APP100062,8000,3000,Business,35,Married,3.0,760.0,0,5.0,19000.0,28000.0,91000,240,Personal,Semi-Urban,Graduate,Male,Private,1
APP100063,8000,0,Salaried,46,Married,2.0,617.0,0,16.2,3900.0,210000.0,196000,180,Home,Urban,Graduate,Male,Self,1
APP100064,8000,0,Salaried,34,Married,0.0,720.0,4,56.5,19200.0,32000.0,182000,36,Personal,Rural,Graduate,Female,Self,0
APP100065,8000,3000,Salaried,37,Single,0.0,571.0,2,7.9,33500.0,287000.0,260000,360,Home,Urban,Postgraduate,Male,Private,1
APP100066,8000,0,Salaried,55,Single,3.0,646.0,1,12.3,5500.0,74000.0,233000,240,Education,Urban,Graduate,Male,Private,1
APP100067,8000,3000,Business,35,Single,0.0,768.0,0,42.7,5300.0,75000.0,238000,60,Business,Urban,Postgraduate,Male,Private,1
APP100068,8000,3000,Salaried,34,Married,2.0,584.0,1,8.7,9500.0,18000.0,274000,240,Business,Semi-Urban,Graduate,Female,Private,1
APP100069,8000,0,Business,21,Single,3.0,619.0,1,6.7,4500.0,0.0,64000,120,Personal,Rural,Undergraduate,Male,Private,0
APP100070,9700,0,Self-Employed,44,Single,1.0,713.0,0,14.1,7400.0,327000.0,278000,240,Home,Urban,Undergraduate,Male,Private,1
APP100071,8000,0,Salaried,30,Single,1.0,486.0,4,5.4,1900.0,112000.0,90000,180,Home,Urban,Graduate,Female,Govt,0
APP100072,8000,3000,Salaried,39,Single,1.0,678.0,1,9.0,19100.0,0.0,196000,180,Business,Urban,Postgraduate,Male,Private,0
APP100073,8000,3000,Business,34,Married,0.0,752.0,4,10.7,42700.0,280000.0,319000,240,Home,Rural,Graduate,Male,Private,1
APP100074,8000,0,Self-Employed,33,Single,1.0,749.0,1,5.1,4100.0,0.0,82000,240,Business,Semi-Urban,Undergraduate,Female,Self,0
APP100075,8000,0,Self-Employed,36,Married,0.0,667.0,1,17.3,1600.0,31000.0,55000,36,Education,Urban,Postgraduate,Male,Private,0
APP100076,8000,3600,Self-Employed,37,Married,0.0,673.0,1,30.9,20400.0,67000.0,152000,36,Business,Semi-Urban,Graduate,Male,Govt,1
APP100077,8000,0,Salaried,49,Married,1.0,814.0,0,9.1,5300.0,41000.0,78000,120,Education,Urban,Graduate,Male,Private,1
APP100078,8000,3000,Salaried,53,Married,1.0,787.0,2,18.4,4200.0,5000.0,242000,120,Education,Semi-Urban,Graduate,Male,Self,1
APP100079,8000,3000,Salaried,44,Single,2.0,671.0,0,21.8,7200.0,27000.0,139000,60,Personal,Urban,Graduate,Male,Private,1
APP100080,8000,3000,Business,50,Married,2.0,615.0,1,5.0,2400.0,0.0,83000,240,Business,Rural,Postgraduate,Male,Private,0
APP100081,8000,0,Self-Employed,46,Married,0.0,757.0,0,47.7,13100.0,0.0,219000,60,Business,Rural,Graduate,Male,Private,0
APP100082,8000,3000,Salaried,42,Single,2.0,781.0,0,5.0,2300.0,0.0,79000,240,Personal,Rural,Graduate,Female,Private,0
APP100083,8000,3000,Salaried,52,Married,,796.0,1,6.2,2500.0,34000.0,138000,240,Personal,Semi-Urban,Graduate,Male,Self,1
APP100084,8000,3000,Salaried,24,Married,1.0,724.0,1,28.3,2400.0,52000.0,129000,36,Personal,Semi-Urban,Graduate,Male,Govt,1
APP100085,8000,0,Salaried,31,Single,2.0,631.0,2,5.0,9500.0,15000.0,53000,240,Personal,Urban,Graduate,Male,Private,1
APP100086,8000,0,Self-Employed,29,Single,0.0,497.0,4,5.0,1300.0,23000.0,80000,360,Business,Semi-Urban,Undergraduate,Female,Private,0
APP100087,8000,0,Self-Employed,34,Married,1.0,854.0,0,37.2,65400.0,80000.0,204000,60,Education,Semi-Urban,Graduate,Male,Govt,1
APP100088,8100,3000,Business,44,Single,1.0,824.0,0,5.0,5600.0,0.0,77000,360,Personal,Rural,Postgraduate,Male,Private,1
APP100089,8000,3000,Salaried,26,Married,2.0,602.0,1,5.0,1000.0,1000.0,72000,240,Personal,Urban,Graduate,Male,Private,0
APP100090,8000,3000,Salaried,43,Married,1.0,697.0,0,11.1,2800.0,0.0,233000,180,Personal,Rural,Graduate,Male,Private,1
APP100091,8000,0,Self-Employed,32,Married,2.0,644.0,2,18.7,14700.0,11000.0,65000,36,Business,Semi-Urban,Postgraduate,Male,Private,0
APP100092,8000,3000,Self-Employed,34,Married,0.0,,1,6.3,31200.0,66000.0,164000,240,Education,Urban,Graduate,Female,Private,1
APP100093,8000,0,Self-Employed,40,Single,2.0,643.0,0,5.0,9500.0,62000.0,50000,180,Home,Semi-Urban,Graduate,Male,Private,1
APP100094,8000,3000,Self-Employed,54,Single,1.0,726.0,2,5.9,8800.0,14000.0,162000,240,Education,Rural,Postgraduate,Male,Private,1
APP100095,8000,0,Salaried,30,Married,1.0,569.0,1,5.0,1800.0,131000.0,109000,360,Home,Rural,Graduate,Male,Private,0
APP100096,8000,5200,Salaried,37,Married,0.0,644.0,0,11.5,35900.0,0.0,273000,180,Education,Semi-Urban,Graduate,Female,Private,0
APP100097,8000,0,Salaried,27,Single,0.0,758.0,0,28.6,14100.0,30000.0,144000,60,Business,Urban,Postgraduate,Male,Private,1
APP100098,8000,0,Salaried,30,Married,0.0,486.0,2,51.1,11200.0,29000.0,178000,36,Personal,Rural,Postgraduate,Male,Self,0
APP100099,8000,3000,Salaried,27,Married,0.0,707.0,0,54.5,8200.0,0.0,313000,60,Business,Semi-Urban,Graduate,Male,Govt,0
APP100100,8000,0,Salaried,40,Single,0.0,598.0,4,7.3,13800.0,260000.0,201000,360,Home,Urban,Graduate,Male,Self,0
APP100101,8000,0,Self-Employed,42,Single,2.0,817.0,1,67.9,3600.0,0.0,227000,36,Business,Urban,Graduate,Male,Govt,0
APP100102,8000,3000,Salaried,44,Single,2.0,709.0,0,7.1,20700.0,4000.0,80000,120,Personal,Urban,Graduate,Male,Private,1
APP100103,8000,0,Salaried,30,Married,2.0,601.0,1,25.5,18100.0,272000.0,238000,120,Home,Urban,Postgraduate,Male,Private,1
APP100104,8000,3000,Business,43,Single,2.0,810.0,0,5.0,7300.0,0.0,151000,360,Personal,Rural,Undergraduate,Male,Private,1
APP100105,8000,0,Salaried,39,Married,0.0,,2,7.2,6200.0,30000.0,101000,180,Business,Urban,Undergraduate,Male,Govt,1
APP100106,8000,3000,Salaried,37,Married,1.0,683.0,1,5.2,900.0,206000.0,173000,360,Home,Urban,Graduate,Male,Self,1
APP100107,8000,3000,Self-Employed,25,Married,3.0,735.0,3,12.0,1400.0,112000.0,273000,240,Personal,Urban,Graduate,Male,Self,1
APP100108,8000,0,Salaried,39,Married,2.0,617.0,1,6.5,14000.0,15000.0,231000,360,Business,Semi-Urban,Postgraduate,Female,Private,1
APP100109,8000,3000,Salaried,39,Married,0.0,810.0,0,43.1,20000.0,273000.0,212000,36,Home,Urban,Graduate,Female,Private,1
APP100110,8000,3000,Salaried,39,Married,1.0,723.0,1,16.1,23600.0,0.0,107000,60,Personal,Urban,Undergraduate,Female,Self,0
APP100111,8000,0,Salaried,42,Married,0.0,614.0,1,28.6,2100.0,37000.0,89000,36,Education,Urban,Postgraduate,Female,Self,0
APP100112,8000,0,Business,44,Single,0.0,617.0,3,8.9,80300.0,155000.0,126000,180,Home,Semi-Urban,Undergraduate,Male,Private,0
APP100113,8000,3000,Business,27,Married,1.0,566.0,0,5.8,22000.0,0.0,163000,240,Personal,Urban,Graduate,Female,Private,0
APP100114,8000,0,Self-Employed,35,Married,2.0,699.0,1,22.5,4600.0,82000.0,94000,60,Home,Semi-Urban,Graduate,Male,Private,0
APP100115,8000,3800,Business,43,Married,1.0,664.0,0,63.7,9500.0,0.0,312000,36,Personal,Urban,Undergraduate,Male,Private,0
APP100116,8000,0,Business,35,Married,0.0,708.0,0,5.0,1500.0,93000.0,102000,240,Home,Urban,Postgraduate,Male,Private,1
APP100117,8000,0,Salaried,47,Single,1.0,518.0,1,31.6,4400.0,176000.0,162000,60,Home,Urban,Undergraduate,Male,Private,0
APP100118,8000,0,Business,38,Married,2.0,624.0,1,8.3,13900.0,38000.0,140000,180,Personal,Urban,Graduate,Female,Govt,1
APP100119,8000,3000,Salaried,21,Single,0.0,591.0,0,81.1,8600.0,0.0,310000,36,Education,Urban,Postgraduate,Male,Private,0
APP100120,8000,0,Business,46,Married,1.0,724.0,0,8.7,46300.0,203000.0,169000,240,Home,Urban,Postgraduate,Male,Private,1
APP100121,8000,0,Business,36,Married,0.0,625.0,0,8.4,1800.0,0.0,112000,180,Business,Urban,Graduate,Female,Self,0
APP100122,8000,0,Salaried,21,Single,1.0,714.0,1,7.4,7200.0,97000.0,171000,240,Business,Semi-Urban,Postgraduate,Male,Self,1
APP100123,8000,0,Salaried,35,Single,0.0,632.0,0,25.0,2600.0,46000.0,109000,60,Business,Urban,Postgraduate,Male,Private,0
APP100124,8000,0,Salaried,25,Married,2.0,818.0,1,12.3,37600.0,37000.0,65000,60,Personal,Rural,Graduate,Female,Private,1
APP100125,8000,3000,Salaried,45,Single,0.0,684.0,0,5.2,10600.0,99000.0,194000,360,Business,Rural,Graduate,Male,Govt,1
APP100126,8000,0,Business,37,Married,0.0,754.0,1,10.2,8200.0,48000.0,213000,240,Business,Rural,Postgraduate,Male,Private,1
APP100127,8000,3000,Business,28,Single,0.0,669.0,0,17.5,7100.0,0.0,306000,180,Education,Urban,Graduate,Male,Govt,0
APP100128,8000,3000,Salaried,46,Single,1.0,739.0,3,9.0,3400.0,219000.0,210000,240,Home,Rural,Undergraduate,Male,Private,1
APP100129,8000,0,Salaried,42,Single,2.0,602.0,1,58.3,26900.0,233000.0,182000,36,Home,Urban,Graduate,Female,Private,0
APP100130,8000,3000,Salaried,35,Single,0.0,668.0,1,6.7,9600.0,0.0,227000,360,Education,Urban,Graduate,Male,Private,1
APP100131,8000,3000,Salaried,25,Married,0.0,622.0,2,9.8,10400.0,43000.0,280000,240,Business,Urban,Undergraduate,Male,Govt,1
APP100132,8000,0,Salaried,29,Single,2.0,848.0,0,5.5,14500.0,39000.0,68000,180,Personal,Rural,Undergraduate,Male,Self,1
APP100133,8000,0,Salaried,29,Married,2.0,565.0,1,5.0,3400.0,,125000,360,Personal,Urban,Graduate,Male,Private,0
APP100134,8000,0,Business,45,Married,2.0,850.0,2,18.5,59600.0,89000.0,97000,60,Home,Rural,Undergraduate,Female,Govt,1
APP100135,8000,0,Salaried,21,Married,1.0,548.0,1,5.0,38900.0,46000.0,50000,240,Home,Urban,Graduate,Male,Govt,1
APP100136,8000,4000,Salaried,37,Married,2.0,746.0,0,6.0,7800.0,0.0,311000,360,Education,Rural,Graduate,Male,Private,0
APP100137,12800,0,Self-Employed,35,Single,,624.0,0,8.3,6000.0,70000.0,118000,120,Business,Rural,Graduate,Male,Govt,0
APP100138,8000,0,Salaried,48,Married,1.0,702.0,0,90.0,15400.0,0.0,110000,12,Education,Rural,Graduate,Female,Self,0
APP100139,8000,3000,Business,40,Married,2.0,656.0,1,13.3,24800.0,71000.0,295000,240,Business,Semi-Urban,Undergraduate,Female,Private,1
APP100140,8000,0,Business,43,Married,0.0,605.0,0,90.0,46600.0,158000.0,186000,12,Home,Rural,Postgraduate,Male,Self,0
APP100141,8000,3500,Salaried,32,Married,1.0,687.0,0,5.4,15400.0,6000.0,226000,360,Personal,Rural,Undergraduate,Male,Govt,1
APP100142,8000,3200,Salaried,25,Single,2.0,634.0,1,39.8,9300.0,20000.0,151000,36,Personal,Urban,Postgraduate,Male,Private,0
APP100143,8000,3000,Salaried,34,Married,1.0,715.0,2,6.6,9300.0,39000.0,202000,240,Business,Semi-Urban,Graduate,Female,Private,0
APP100144,8000,0,Salaried,45,Single,1.0,581.0,1,5.5,1200.0,53000.0,59000,120,Home,Semi-Urban,Postgraduate,Male,Private,0
APP100145,8000,3000,Salaried,45,Single,0.0,698.0,3,40.0,5300.0,239000.0,258000,60,Home,Urban,Undergraduate,Female,Private,1
APP100146,8000,3000,Self-Employed,33,Single,0.0,757.0,0,5.0,11600.0,137000.0,129000,360,Home,Rural,Postgraduate,Male,Self,1
APP100147,8000,0,Salaried,29,Married,0.0,662.0,1,6.5,800.0,2000.0,140000,240,Business,Urban,Undergraduate,Female,Private,0
APP100148,8000,3000,Salaried,27,Single,3.0,560.0,0,5.6,9700.0,103000.0,91000,120,Home,Semi-Urban,Undergraduate,Male,Private,0
APP100149,8000,3000,Salaried,36,Married,3.0,835.0,0,31.9,3600.0,290000.0,254000,60,Home,Urban,Graduate,Male,Self,1
APP100150,11600,3900,Business,39,Single,0.0,706.0,2,12.4,39200.0,37000.0,426000,240,Personal,Urban,Postgraduate,Male,Govt,1
APP100151,8000,3000,Salaried,52,Married,0.0,607.0,1,5.0,6100.0,107000.0,186000,360,Personal,Urban,Undergraduate,Male,Govt,1
APP100152,8000,3000,Salaried,39,Married,0.0,700.0,3,5.0,6200.0,0.0,88000,240,Business,Rural,Undergraduate,Female,Private,0
APP100153,8000,0,Salaried,44,Married,0.0,513.0,2,9.9,7100.0,0.0,229000,240,Business,Urban,Graduate,Female,Private,0
APP100154,8000,3000,Business,30,Single,0.0,785.0,0,24.0,8100.0,57000.0,184000,60,Personal,Rural,Postgraduate,Female,Private,1
APP100155,8000,0,Salaried,38,Married,0.0,855.0,2,5.0,17900.0,15000.0,63000,360,Business,Rural,Postgraduate,Male,Govt,1
APP100156,8000,0,Self-Employed,39,Married,2.0,746.0,1,5.0,5700.0,33000.0,84000,240,Personal,Semi-Urban,Graduate,Male,Private,1
APP100157,8000,0,Self-Employed,36,Married,2.0,589.0,0,5.3,8300.0,67000.0,71000,180,Home,Urban,Postgraduate,Female,Private,1
APP100158,8000,0,Salaried,37,Single,0.0,500.0,0,5.4,18000.0,47000.0,86000,180,Business,Urban,Graduate,Male,Private,0
APP100159,8000,0,Self-Employed,39,Single,1.0,786.0,2,5.0,8200.0,41000.0,78000,180,Personal,Semi-Urban,Graduate,Male,Private,1
APP100160,8000,0,Salaried,42,Married,1.0,666.0,0,8.8,15600.0,87000.0,225000,360,Education,Urban,Graduate,Male,Private,1
APP100161,8000,0,Self-Employed,49,Single,0.0,636.0,1,5.0,5200.0,42000.0,88000,240,Personal,Semi-Urban,Postgraduate,Male,Self,0
APP100162,8000,3000,Self-Employed,21,Married,2.0,784.0,0,5.0,11500.0,78000.0,183000,360,Education,Rural,Graduate,Male,Private,1
APP100163,8000,0,Salaried,49,Married,0.0,610.0,2,13.8,30000.0,196000.0,188000,180,Home,Urban,Graduate,Male,Self,1
APP100164,8000,0,Salaried,21,Single,0.0,732.0,2,9.1,14800.0,17000.0,178000,240,Personal,Semi-Urban,Graduate,Male,Private,1
APP100165,8900,3000,Business,41,Married,0.0,674.0,1,7.8,1200.0,0.0,345000,360,Business,Rural,Graduate,Female,Private,0
APP100166,8000,0,Salaried,61,Married,3.0,694.0,1,54.3,14100.0,124000.0,233000,60,Personal,Rural,Graduate,Male,Private,0
APP100167,8000,3000,Salaried,37,Married,1.0,818.0,1,19.3,2600.0,209000.0,217000,120,Home,Rural,Graduate,Male,Self,1
APP100168,8000,3000,Salaried,39,Married,1.0,627.0,1,10.2,3200.0,138000.0,265000,240,Business,Rural,Postgraduate,Male,Private,1
APP100169,8000,3000,Self-Employed,34,Married,2.0,611.0,2,5.0,13300.0,166000.0,168000,360,Home,Urban,Undergraduate,Female,Self,0
APP100170,8000,3000,Self-Employed,44,Married,0.0,637.0,3,90.0,3100.0,231000.0,179000,12,Home,Rural,Graduate,Male,Self,0
APP100171,8000,0,Salaried,41,Married,3.0,571.0,0,15.3,2700.0,62000.0,68000,60,Home,Rural,Graduate,Male,Govt,0
APP100172,8000,0,Salaried,31,Married,1.0,764.0,0,39.1,8100.0,178000.0,177000,60,Home,Semi-Urban,Postgraduate,Male,Govt,1
APP100173,8000,3000,Salaried,36,Married,1.0,752.0,0,10.8,4400.0,36000.0,137000,120,Education,Urban,Graduate,Male,Govt,1
APP100174,8000,3100,Self-Employed,26,Married,2.0,663.0,2,14.5,1600.0,0.0,88000,60,Personal,Semi-Urban,Undergraduate,Male,Private,0
APP100175,8000,0,Salaried,36,Married,1.0,588.0,1,5.2,14100.0,6000.0,67000,180,Business,Urban,Postgraduate,Female,Govt,0
APP100176,8000,3000,Self-Employed,33,Single,2.0,432.0,0,7.2,21700.0,23000.0,257000,360,Business,Urban,Graduate,Female,Self,0
APP100177,8000,0,Salaried,39,Married,2.0,604.0,0,5.7,20000.0,0.0,92000,240,Business,Semi-Urban,Graduate,Male,Govt,0
APP100178,8000,0,Business,30,Single,0.0,651.0,1,39.4,3300.0,94000.0,196000,60,Education,Semi-Urban,Postgraduate,Male,Private,0
APP100179,8000,0,Salaried,35,Single,0.0,509.0,0,6.9,12200.0,114000.0,222000,360,Personal,Semi-Urban,Graduate,Female,Govt,0
APP100180,8000,3000,Salaried,38,Single,0.0,900.0,0,5.7,4900.0,77000.0,156000,240,Business,Urban,Graduate,Male,Self,1
APP100181,8000,0,Salaried,38,Married,0.0,717.0,0,46.1,2300.0,70000.0,200000,60,Education,Rural,Graduate,Female,Private,0
APP100182,8000,3000,Business,40,Married,,712.0,2,13.8,3800.0,92000.0,179000,120,Personal,Urban,Undergraduate,Male,Self,1
APP100183,8000,3000,Business,36,Married,0.0,666.0,0,11.7,500.0,31000.0,270000,240,Education,Urban,Postgraduate,Female,Self,0
APP100184,8000,0,Salaried,30,Single,0.0,738.0,1,5.0,2800.0,38000.0,107000,240,Education,Semi-Urban,Graduate,Female,Private,1
APP100185,8700,0,Self-Employed,38,Married,2.0,628.0,3,17.3,1900.0,,247000,180,Personal,Urban,Postgraduate,Female,Private,0
APP100186,8000,3000,Business,36,Single,2.0,665.0,0,74.3,9900.0,54000.0,327000,36,Personal,Urban,Graduate,Female,Govt,0
APP100187,8000,0,Self-Employed,48,Single,0.0,798.0,1,5.0,,0.0,122000,360,Personal,Urban,Postgraduate,Male,Private,1
APP100188,8000,0,Salaried,49,Married,0.0,754.0,3,8.7,1500.0,19000.0,86000,120,Education,Rural,Graduate,Female,Private,0
APP100189,8000,0,Salaried,24,Married,0.0,679.0,0,11.2,18500.0,4000.0,180000,240,Personal,Semi-Urban,Postgraduate,Male,Govt,1
APP100190,8000,0,Salaried,44,Single,2.0,,4,8.9,4400.0,0.0,160000,240,Business,Urban,Undergraduate,Male,Govt,0
